0,isa
1,¬isa
2,manifestation_of
3,¬manifestation_of
4,associated_with
5,¬associated_with
6,produces
7,¬produces
8,occurs_in
9,¬occurs_in
10,issue_in
11,¬issue_in
12,causes
13,¬causes
14,affects
15,¬affects
16,result_of
17,¬result_of
18,uses
19,¬uses
20,measures
21,¬measures
22,process_of
23,¬process_of
24,method_of
25,¬method_of
26,performs
27,¬performs
28,part_of
29,¬part_of
30,interacts_with
31,¬interacts_with
32,evaluation_of
33,¬evaluation_of
34,complicates
35,¬complicates
36,measurement_of
37,¬measurement_of
38,precedes
39,¬precedes
40,degree_of
41,¬degree_of
42,disrupts
43,¬disrupts
44,assesses_effect_of
45,¬assesses_effect_of
46,analyzes
47,¬analyzes
48,exhibits
49,¬exhibits
50,location_of
51,¬location_of
52,connected_to
53,¬connected_to
54,conceptual_part_of
55,¬conceptual_part_of
56,co-occurs_with
57,¬co-occurs_with
58,developmental_form_of
59,¬developmental_form_of
60,diagnoses
61,¬diagnoses
62,carries_out
63,¬carries_out
64,treats
65,¬treats
66,property_of
67,¬property_of
68,indicates
69,¬indicates
70,ingredient_of
71,¬ingredient_of
72,consists_of
73,¬consists_of
74,contains
75,¬contains
76,adjacent_to
77,¬adjacent_to
78,surrounds
79,¬surrounds
80,manages
81,¬manages
82,prevents
83,¬prevents
84,practices
85,¬practices
86,interconnects
87,¬interconnects
88,derivative_of
89,¬derivative_of
90,conceptually_related_to
91,¬conceptually_related_to
